,,,,
,"Pilotage du projet","5 - 10% du budget total du projet (hors matériel et infrastructure)","5% du budget total du projet (hors matériel et infrastructure)",
,"Conduite du changement, qualification technique et métier","20 - 30% du budget total du projet (hors matériel et infrastructure)","30% du budget total du projet (hors matériel et infrastructure)",
,"Mise en production","10-15% du budget total du projet (hors matériel et infrastructure)","10% du budget total du projet (hors matériel et infrastructure)",
,,,,
,"MAREVA allégé",,,
,,,,
,"Poste de dépense","Méthode d'estimation (DINSIC, article 3)","Valeur par défaut DINSIC MAREVA allégé","Remarque complémentaire"
,"Exploitation",,"25% des coûts d’infrastructure initiaux (par an)",
,"Maintenance matériel et infrastructure (cible)",,"5% des coûts d’infrastructure initiaux (par an)",
,"Maintenance application (cible)",,"Pas de valeur par défaut",
,"Amortissements du projet (cible)
",,"Pas de valeur par défaut",
,"Abonnement (cible)",,"Pas de valeur par défaut",
,"Formation continue (cible)",,"Pas de valeur par défaut",
,"Support",,"Pas de valeur par défaut, à insérer dans ""Autres"" ",
