"Domaine","Zone","Quartier","Bloc","Ilot","Nom du secteur fonctionnel","Niveau d'urbanisme","Description","Code Secteur Fonctionnel Interministériel","Nom Long","Eléments justifiants la création du secteur","Couleur","Indice de confiance"
"MI","Sécurité intérieure",,,,"Sécurité intérieure","Zone","Les missions de sécurité intérieure, de police judiciaire et le renseignement et l'information, déclinées en 5 axes :_x000D_
- Sécurité des personnes, des biens et des institutions_x000D_
- Maîtrise des flux migratoires et lutte contre l'immigration illégale_x000D_
- Lutte contre la criminalité_x000D_
- Protection du pays des menaces extérieure et du terrorisme_x000D_
- Maintient de l'ordre public","B2F5-B324-4FD1-4421","Interministériel::POS du SI des Services Publics Français::MI::Sécurité intérieure",,"Bleu",
"Ressources & Support","Circuits de validation",,,,"Circuits de validation","Zone","Ensemble des fonctionnalités assurant la gestion des workflows relatifs à la documentation et la connaissance. _x000D_
","B2F5-B325-4FD1-44E6","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Circuits de validation",,"Vert",
"Ressources & Support","Dépense",,,,"Dépense","Zone","Ensemble des fonctionnalités  permettant l’exécution et le suivi des dépenses de fonctionnement, d’intervention et d’investissement des ministères (hors dépenses de personnel : paie et pensions), au regard des ressources qui sont mises à la disposition des services. Ce quartier comprend les ensembles fonctionnels suivants : Engagement de la dépense (commande publique, subventions, baux, décisions diverses), Réception, Traitement des demandes de paiement, Mise en paiement.","B2F5-B325-4FD1-4486","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Dépense",,"Vert",
"Ressources & Support","Editique",,,,"Editique","Zone","Ensemble des fonctionnalités permettant la gestion de la production automatisée de documents, depuis la réception des données brutes jusqu'à la mise à disposition des documents :_x000D_
- Paramétrage des documents (trames et contextes)_x000D_
- Extraction/Réception des données métiers_x000D_
- Composition dynamique de documents _x000D_
- Post-composition _x000D_
","B2F5-B325-4FD1-4506","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Editique",,"Vert",
"Ressources & Support","Gestion de la documentation",,,,"Gestion de la documentation","Zone","Ensemble des fonctionnalités assurant la conservation et la mise à disposition des ressources documentaires de l'Etat (documents ou données et métadonnées associées)._x000D_
_x000D_
Ce quartier couvre l'ensemble des fonctionnalités de :_x000D_
·	Acquisition de documents (versement des documents, contenus et des métadonnées associées_x000D_
·	Gestion et mise àdisposition de contenu (consultation, suppression, recherche, export…)_x000D_
·	Archivage courant et intermédiaire","B2F5-B325-4FD1-4516","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion de la documentation","Regroupement des quartiers suivants : _x000D_
-	Gestion de contenu,_x000D_
-	Connaissance sur le fonctionnement des structures, _x000D_
-	Archives courantes et intermédiaires.","Vert",
"Ressources & Support","Gestion de la documentation et de la connaissance",,,,"Gestion de la documentation et de la connaissance","Zone","Ensemble des fonctionnalités et des objets métiers couvrant la gestion de l'information transverse relative au fonctionnement opérationnel de l'Etat, des administrations et des tutelles. Il s'agit de la gestion du courrier interne, de la documentation opérationnelle, ainsi que de l'archivage intermédiaire de ces informations. C'est un ensemble fonctionnel par nature transverse aux différents métiers de l'Etat.","B2F5-B325-4FD1-44C6","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion de la documentation et de la connaissance",,"Vert",
"Ressources & Support","Gestion des actifs",,,,"Gestion des actifs","Zone","Ensemble des fonctionnalités de gestion comptable des immobilisations incorporelles et corporelles permettant de connaître et valoriser le patrimoine de l’État ainsi que de gestion comptable des stocks de l’Etat. Ce quartier comprend les ensembles fonctionnels suivants : Entrée du bien immobilisé, Sortie du bien immobilisé, Valorisation /  réévaluation / dépréciation du bien immobilisé, Gestion des entrées/sorties de stock, Calcul du CUMP, Gestion des inventaires, Gestion logistique des biens.","B2F5-B325-4FD1-4496","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des actifs",,"Vert",
"MEF","Moyens de paiements",,,,"Moyens de paiements","Zone","Ensemble des fonctionnalités permettant d’instrumenter les différentes modalités de paiement (virement, prélèvement, chèques, espèces, TIP..) de l’Etat avec ses tiers.","B2F5-B325-4FD1-44B6","Interministériel::POS du SI des Services Publics Français::MEF::Moyens de paiements",,"Bleu",
"Ressources & Support","Recettes non fiscales",,,,"Recettes non fiscales","Zone","Ensemble des fonctionnalités permettant l’exécution et le suivi des recettes non-fiscales  de l’Etat  (dividendes et recettes assimilées, produits du domaine de l'État, produits de la vente de biens et services, remboursements et intérêts des prêts, avances et autres immobilisations financières,  amendes, sanctions, pénalités et frais de poursuites,…). Ce quartier comprend les ensembles fonctionnels suivants : Engagement de Tiers, Facturation interne et externe avec ou sans engagement de tiers, Recettes au comptant, constatation de l’encaissement.","B2F5-B325-4FD1-44A6","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Recettes non fiscales",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Construction, évolution et Entretien des Infrastructures",,,"Construction, évolution et Entretien des Infrastructures","Quartier","Fonctionnalités d'études, de constructions et d'évolutions, et d'entretien (Maintenance corrective et évolutive) des infrastructures de communication (réseau, téléphonie, visioconférence…)","B2F5-B326-4FD1-4576","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Construction, évolution et Entretien des Infrastructures",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Etudes, développement et entretien des applications",,,"Etudes, développement et entretien des applications","Quartier","Fonctionnalités d'études, de constructions et d'évolutions, et d'entretien (Maintenance corrective et évolutive) du patrimoine applicatif","B2F5-B326-4FD1-4566","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Etudes, développement et entretien des applications",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Gestion de la connaissance SI",,,"Gestion de la connaissance SI","Quartier","Ensemble des fonctionnalités et des objets métiers permettant de décrire le patrimoine SI de l'Etat selon les 5 perspectives définie par le cadre commun d'urbanisation (stratégie, métier, fonctionnelle, applicative, infrastructure)","B2F5-B326-4FD1-4596","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Gestion de la connaissance SI",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication",,,,"Gestion des Systèmes d'Information et de Communication","Zone","Ensemble des fonctionnalités et des objets métiers couvrant la planification stratégique et opérationnelle, le pilotage et la coordination des travaux de constructions et le pilotage opérationnel du fonctionnement des systèmes d'information et de communication.","B2F5-B326-4FD1-4556","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication",,"Vert",
"Ressources & Support","Gestion du courrier",,,,"Gestion du courrier","Zone",,"B2F5-B326-4FD1-4536","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion du courrier",,"Vert",
"Ressources & Support","Géomatique",,,,"Géomatique","Zone","La géomatique regroupe l'ensemble des outils et méthodes permettant d'acquérir, de représenter, d'analyser et d'intégrer des données géographiques. _x000D_
_x000D_
Ce quartier regroupe l'ensemble des fonctionnalités regroupant les connaissances et technologies nécessaires à la production et au traitement des données numériques décrivant le territoire, ses ressources ou tout autre objet ou phénomène ayant une position géographique._x000D_
_x000D_
","B2F5-B326-4FD1-4546","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Géomatique",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Pilotage SI",,,"Pilotage SI","Quartier","Ensemble des fonctionnalités et des objets métiers permettant la planification stratégique et opérationnelle de la transformation et du fonctionnement des systèmes d'information et de communication. Il s'agit des fonctions stratégiques de planification de la transformation et d'urbanisation des SI, et des fonctions opérationnelles de pilotage et de coordination de la transformation : gestion de portefeuilles projets et de la planification de l'emploi des ressources.","B2F5-B326-4FD1-45A6","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Pilotage SI",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Production Exploitation et Supervision",,,"Production Exploitation et Supervision","Quartier","Ensemble des fonctionnalités et des objets métiers permettant de superviser, sauvegarder, sécuriser et recupérer les données importantes contenues dans le système informatique. _x000D_
","B2F5-B326-4FD1-45B6","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Production Exploitation et Supervision",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Soutien aux utilisateurs",,,"Soutien aux utilisateurs","Quartier","Ensemble des fonctionnalités et des objets métiers permettant d'apporter une aide aux utilisateurs du système informatique.","B2F5-B326-4FD1-45D6","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Soutien aux utilisateurs",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Sécurité des SI",,,"Sécurité des SI","Quartier","Ensemble des fonctions liées à la sécurité des système d'information et de communication","B2F5-B326-4FD1-45C6","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Sécurité des SI",,"Vert",
"Ressources & Support","Juridique","Conformité",,,"Conformité","Quartier",,"B2F5-B327-4FD1-4646","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Juridique::Conformité",,"Vert",
"Ressources & Support","Juridique","Contentieux de l'administration",,,"Contentieux de l'administration","Quartier",,"B2F5-B327-4FD1-4656","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Juridique::Contentieux de l'administration",,"Vert",
"Ressources & Support","Immobilier","Gestion des biens immobiliers",,,"Gestion des biens immobiliers","Quartier","Ensemble des fonctionnalités permettant la gestion technique et domaniale du parc immobilier. _x000D_
","B2F5-B327-4FD1-45F6","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Immobilier::Gestion des biens immobiliers",,"Vert",
"Ressources & Support","Immobilier",,,,"Immobilier","Zone","Ensemble des fonctions relatives à la gestion du parc immobilier de l’Etat :_x000D_
- à la gestion des opérations immobilières_x000D_
- à la gestion des biens immobiliers_x000D_
- aux services aux biens immobiliers et aux occupants","B2F5-B327-4FD1-45E6","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Immobilier",,"Vert",
"Ressources & Support","Juridique","Informatique et liberté",,,"Informatique et liberté","Quartier",,"B2F5-B327-4FD1-4636","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Juridique::Informatique et liberté",,"Vert",
"Ressources & Support","Juridique",,,,"Juridique","Zone","Ensemble des fonctions relatives :_x000D_
- au procédures normatives_x000D_
- à la publication de textes juridiques_x000D_
- à la réglementation Informatique et liberté_x000D_
- à la conformité_x000D_
- aux contentieux de l'administration_x000D_
- à la gestion des biens immatériels","B2F5-B327-4FD1-4626","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Juridique",,"Vert",
"Ressources & Support","Moyens Généraux",,,,"Moyens Généraux","Zone","Ensemble des fonctions relatives : _x000D_
- à la gestion des biens mobiliers_x000D_
- aux évènements et à la logistique_x000D_
- à la gestion des abonnements","B2F5-B327-4FD1-4686","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Moyens Généraux",,"Vert",
"Ressources & Support","Juridique","Procédures normatives",,,"Procédures normatives","Quartier",,"B2F5-B327-4FD1-4666","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Juridique::Procédures normatives",,"Vert",
"Ressources & Support","Juridique","Publication de textes juridiques",,,"Publication de textes juridiques","Quartier",,"B2F5-B327-4FD1-4676","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Juridique::Publication de textes juridiques",,"Vert",
"Ressources & Support","Immobilier","Services aux biens immobiliers et aux occupants",,,"Services aux biens immobiliers et aux occupants","Quartier","Ensemble des fonctionnalités permettant :  _x000D_
- la gestion de la maintenance, des fluides et des déménagements._x000D_
- la réservation de salle de réunion ou de visioconférences _x000D_
","B2F5-B327-4FD1-4616","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Immobilier::Services aux biens immobiliers et aux occupants",,"Vert",
"Ressources & Support","Carrière administrative",,,,"Carrière administrative","Zone","Regroupe les activités de gestion de carrière, d’avancement (échelon ou grade), de position statutaire, de cessation, d’affections, de sanction, de contrat. Il permet également de suivre l’évaluation de l’agent.","B2F5-B328-4FD1-4736","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Carrière administrative",,"Vert",
"Ressources & Support","Dialogue social",,,,"Dialogue social","Zone","Regroupe les activités liées à la gestion des élections professionnelles et aux différents travaux menés avec les instances partenariales sociales (CAP, CHSCT, etc.)","B2F5-B328-4FD1-46F6","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Dialogue social",,"Vert",
"Ressources & Support","Données individuelles",,,,"Données individuelles","Zone","Permet de décrire toutes les données personnelles de l’agent (Etat civil, coordonnées, situation familiale, famille, handicap, documents, diplômes,…) ayant ou pas une influence sur les autres domaines (paie ou droit divers) _x000D_
","B2F5-B328-4FD1-4706","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Données individuelles",,"Vert",
"Ressources & Support","Emplois et Compétences",,,,"Emplois et Compétences","Zone","Regroupe les activités liées à la planification et à l’anticipation des évolutions des métiers et des compétences au sein de l’organisation.","B2F5-B328-4FD1-4756","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Emplois et Compétences",,"Vert",
"Ressources & Support","Moyens Généraux","Evènements et logistique",,,"Evènements et logistique","Quartier",,"B2F5-B328-4FD1-46B6","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Moyens Généraux::Evènements et logistique",,"Vert",
"Ressources & Support","Formation",,,,"Formation","Zone","Regroupe les fonctions du SI liées à l'identification des besoins de formation, la préparation d'un plan de formation et le suivi de formation des agents (dont les droits). Ce quartier ne comprend pas l’organisation et la réalisation des formations à proprement parlé (qui relève de la zone ""Enseignement & Gestion des concours "").","B2F5-B328-4FD1-4716","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Formation",,"Vert",
"Ressources & Support","Gestion du temps et des absences",,,,"Gestion du temps et des absences","Zone","Regroupe les activités liées au temps de travail, congés, compte épargne temps et activités de l'agent","B2F5-B328-4FD1-4726","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion du temps et des absences",,"Vert",
"Ressources & Support","Recrutement et mobilité",,,,"Recrutement et mobilité","Zone","Regroupe les activités liées à aux opérations de recrutement, aux concours et examens, aux remplacements, et à la mobilité. _x000D_
","B2F5-B328-4FD1-4746","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Recrutement et mobilité",,"Vert",
"Ressources & Support","Ressources Humaines",,,,"Ressources Humaines","Zone","La gestion des ressources humaines recouvre l'ensemble des pratiques mises en œuvre pour administrer, mobiliser et développer les ressources humaines impliquées dans l'activité des organisations de l'Etat. Ces ressources humaines comprennent l'ensemble des collaborateurs, des agents, quelque soit leur status ou leur contrat, appartenant à une organisation de l'Etat.","B2F5-B328-4FD1-46C6","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Ressources Humaines",,"Vert",
"Ressources & Support","Santé du personnel & Action sociale",,,,"Santé du personnel & Action sociale","Zone","Regroupe les activités liées à la gestion des prestations sociales et aux conditions de vie au travail","B2F5-B328-4FD1-46D6","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Santé du personnel & Action sociale",,"Vert",
"Pilotage & Contrôle","Audit & Inspection",,,,"Audit & Inspection","Zone","Organisation et pilotage des missions d'Inspection, Contrôle, Evaluation, Audit, Conseil","B2F5-B329-4FD1-47D6","Interministériel::POS du SI des Services Publics Français::Pilotage & Contrôle::Audit & Inspection"," 28/07/2017 : Première définition proposée","Rouge",
"Pilotage & Contrôle","Contrôle de Gestion",,,,"Contrôle de Gestion","Zone","Ensemble des Fonctionnalités permettant d'évaluer et d'analyser la performance, de l'efficience, des activités d'une organisation ou d'une structure.","B2F5-B329-4FD1-47E6","Interministériel::POS du SI des Services Publics Français::Pilotage & Contrôle::Contrôle de Gestion",,"Rouge",
"Pilotage & Contrôle","Définition de la Politique de Sécurité",,,,"Définition de la Politique de Sécurité","Zone","Définition de l'ensemble formalisé des éléments stratégiques, des directives, procédures, codes de conduite, règles organisationnelles et techniques, ayant pour objectif la protection du (des) système(s) d’information des organismes publics / privés _x000D_
_x000D_
(source : https://www.ssi.gouv.fr/uploads/IMG/pdf/pssi-section1-introduction-2004-03-03.pdf)","B2F5-B329-4FD1-4806","Interministériel::POS du SI des Services Publics Français::Pilotage & Contrôle::Définition de la Politique de Sécurité",,"Rouge",
"Pilotage & Contrôle","Performance & Décisionnel","Pilotage opérationnel","Pilotage opérationnel des ressources humaines","Piloter et contrôler la masse salariale et les rémunérations","Piloter et contrôler la masse salariale et les rémunérations","Ilot","Permet de consolider les données provenant de la paie, d'analyser la masse salariale et les rémunérations_x000D_
","B2F5-B329-4FD1-47A6","Interministériel::POS du SI des Services Publics Français::Pilotage & Contrôle::Performance & Décisionnel::Pilotage opérationnel::Pilotage opérationnel des ressources humaines::Piloter et contrôler la masse salariale et les rémunérations",,"Rouge",
"Ressources & Support","Préparation à la retraite",,,,"Préparation à la retraite","Zone","Regroupe les fonctionnalités liées à la préparation des éléments nécessaires à la constitution du compte individuel de retraite (CIR) à destination du Service des Retraites de l’Etat (SRE)","B2F5-B329-4FD1-4796","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Préparation à la retraite",,"Vert",
"Ressources & Support","Rémunération",,,,"Rémunération","Zone","Regroupe les fonctionnalités liées à la gestion du processus de calcul de la paie","B2F5-B329-4FD1-4786","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Rémunération",,"Vert",
"Pilotage & Contrôle","Performance & Décisionnel",,,,"Performance & Décisionnel","Zone","Ensemble des fonctionnalités couvrant les opérations liées à l'orientation de la gestion financière vers les résultats:_x000D_
- contrôle et évaluation des performances financières de l'Etat (indicateurs de performance...)._x000D_
- prises de décisions visant à faire coincider objectifs et résultats. _x000D_
","B2F5-B32A-4FD1-4846","Interministériel::POS du SI des Services Publics Français::Pilotage & Contrôle::Performance & Décisionnel",,"Rouge",
"Pilotage & Contrôle","Performance & Décisionnel","Pilotage budgétaire et comptable",,,"Pilotage budgétaire et comptable","Quartier","Ensemble des fonctions relatives à !_x000D_
- La coordination et la synthèse budgétaire et comptable au niveau du ministère_x000D_
- La garantie du caractère soutenable du budget du ministère_x000D_
- La coordination et la mise en œuvre des dispositifs de qualité, de conformité et d’efficience de la fonction financière","B2F5-B32A-4FD1-4856","Interministériel::POS du SI des Services Publics Français::Pilotage & Contrôle::Performance & Décisionnel::Pilotage budgétaire et comptable"," 28/07/2017 : Première définition proposée","Rouge",
"Pilotage & Contrôle","Performance & Décisionnel","Plan Administration Exemplaire",,,"Plan Administration Exemplaire","Quartier","Ensemble des fonctionnalités couvrant la mise en œuvre du dispositif administration exemplaire qui vise à assurer la transition énergétique du fonctionnement de l'État. Les administrations bâtissent, pour la période 2015-2020, des plans ministériels d'administration exemplaire pour en planifier les mesures concrètes._x000D_
_x000D_
http://www.ecologique-solidaire.gouv.fr/sites/default/files/PMAE%202015-2020.pdf","B2F5-B32A-4FD1-4866","Interministériel::POS du SI des Services Publics Français::Pilotage & Contrôle::Performance & Décisionnel::Plan Administration Exemplaire"," 28/07/2017 : Première définition proposée","Rouge",
"Pilotage & Contrôle","Risques majeurs & Continuité de l'action de l'Etat",,,,"Risques majeurs & Continuité de l'action de l'Etat","Zone","Ensemble des fonctionnalités transverses de gestion des risques qui pèsent sur les actifs de l'Etat, ses valeurs, et son personnel : identification, cartographie, analyse, prévention, suivi, etc. Cette zone comprend également l'ensemble des fonctionnalités transverses relatives à la continuité des actions de l'Etat en cas de désastre ou de crise majeur. Elle comprend la gestion des plans de continuité d'activités et de reprises d'activités.","B2F5-B32A-4FD1-4876","Interministériel::POS du SI des Services Publics Français::Pilotage & Contrôle::Risques majeurs & Continuité de l'action de l'Etat",,"Rouge",
"Pilotage & Contrôle","Performance & Décisionnel","Statistiques de l'activité de l'Etat",,,"Statistiques de l'activité de l'Etat","Quartier"," Ensemble des fonctionnalités couvrant les opérations liées à la conception, la production et la diffusion des statistiques de l'activité de l'Etat. ","B2F5-B32A-4FD1-4896","Interministériel::POS du SI des Services Publics Français::Pilotage & Contrôle::Performance & Décisionnel::Statistiques de l'activité de l'Etat",,"Rouge",
"Pilotage & Contrôle","Stratégie et Prospection",,,,"Stratégie et Prospection","Zone",,"B2F5-B32A-4FD1-4886","Interministériel::POS du SI des Services Publics Français::Pilotage & Contrôle::Stratégie et Prospection",,"Rouge",
"Echanges & Relations","Communication institutionnelle & Relation Publique",,,,"Communication institutionnelle & Relation Publique","Zone","ensemble des fonctionnalités relatives à la communication institutionnelle et la relation des administrations avec le public. Cette zone couvre l'information gouvernementale et l'information administrative.","B2F5-B32B-4FD1-4976","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Communication institutionnelle & Relation Publique",,"Jaune",
"Echanges & Relations","Gestion de la relation avec les Usagers",,,,"Gestion de la relation avec les Usagers","Zone","La zone Echange Usagers regroupe l'ensemble des fonctionnalités liées aux échanges, à la relation entre l'administration et les usagers.","B2F5-B32B-4FD1-4966","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Gestion de la relation avec les Usagers",,"Jaune",
"Echanges & Relations","Gestion des canaux d'échanges",,,,"Gestion des canaux d'échanges","Zone","Ensemble des fonctionnalités relatives à la gestion des différents canaux d'échanges utilisés par l'administration et ses agents (Environnement de travail, internet, téléphone,messagerie, etc.) pour rentrer en contact avec les usagers, les entreprises, d'autres administration, des collectivités territoriales, des partenaires, des fournisseurs, etc. La gestion du poste de travail, ou environnement de travail, des agents est positionnée dans cette zone._x000D_
_x000D_
","B2F5-B32B-4FD1-4986","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Gestion des canaux d'échanges",,"Jaune",
"Echanges & Relations","Ouverture des données publiques",,,,"Ouverture des données publiques","Zone","ensemble des fonctionnalités relatives à la mise à disposition librement des données publiques (démarche Open Data).","B2F5-B32B-4FD1-4996","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Ouverture des données publiques",,"Jaune",
"Echanges & Relations","Relation  Hors Européenne",,,,"Relation  Hors Européenne","Zone","ensemble des fonctionnalités relatives aux échanges avec des administrations de la commission Européenne, ou avec d'autres états membres dans le cadre d'actions de la commission Européenne.","B2F5-B32B-4FD1-4936","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Relation  Hors Européenne",,"Jaune",
"Echanges & Relations","Gestion de la relation avec les Usagers","Relation & échanges Particuliers",,,"Relation & échanges Particuliers","Quartier","Ensemble des fonctionnalités relatives à la gestion de la relation avec les particuliers (personnes physiques, justiciables, résidents, etc.) : suivi des contacts, mise en relation, suivi de dossier, etc. C'est l'équivalent fonctionnel d'une ""gestion de la relation client"" (Customer Relationship Managment) multicanal et crosscanal. Il s'agit donc bien de l'ensemble des fonctionnalités nécessaires à l'usager et aux agents pour gérer et suivre dans le temps les demandes, les services, les droits et obligations,  et les paiements de l'usager, ou de l'un de ses représentants, et ce, quelque soit le canal ou le média utilisés (guichet, courrier, téléphone, email, internet...).","B2F5-B32B-4FD1-49A6","Interministériel::POS du SI des Services Publics Français::Echanges & Relations::Gestion de la relation avec les Usagers::Relation & échanges Particuliers",,"Jaune",
